V13,V14,p.value,probability,n,p_adju,p_scaled
IPR005000,HpcH/HpaI aldolase/citrate lyase domain,0.2594592732775318,0.00012689294031367805,1,0.3063090044037582,5.138402362806422
IPR021612,Staphylococcal complement inhibitor SCIN,0.25964724579273846,0.00012694654949843247,1,0.3064068671516088,5.137015055778487
IPR006097,"Glutamate/phenylalanine/leucine/valine/L-tryptophan dehydrogenase, dimerisation domain",0.2615114109397622,0.000308091984783569,3,0.30848190707942824,5.107703028981395
IPR012851,Spore coat protein CotF-like,0.26397925425084967,0.00012817956074778379,1,0.31126708669449155,5.068667990818999
IPR011437,Domain of unknown function DUF1540,0.26530092636520025,0.00012855482504106464,1,0.3126990708492013,5.048734092133004
IPR005117,Nitrite/Sulfite reductase ferredoxin-like domain,0.2684545269435515,0.00031034357054325406,3,0.31628824265349337,4.999169517631063
IPR004165,Coenzyme A transferase family I,0.27057647632712656,0.0002335216087901908,2,0.3186595335096531,4.966730839667911
IPR021701,Protein of unknown function DUF3284,0.27098179747532936,0.00013016310058369681,1,0.31900804256683907,4.961983677316313
IPR018672,Protein of unknown function DUF2140,0.272501122371356,0.00013059197406173204,1,0.32066718032077246,4.939454870156382
IPR006640,SprT-like,0.27402025803638486,0.0002345937924852789,2,0.322324756931867,4.917063361693931
IPR009928,"Primosomal DnaI, N-terminal",0.27574776955508207,0.00023512988433282297,2,0.3242260064607336,4.89152152937816
IPR013663,"Helicase, SWF/SNF/SWI type, bacterial",0.2766885567597874,0.00013177137612632899,1,0.3252010606656751,4.878480465942713
IPR006176,"3-hydroxyacyl-CoA dehydrogenase, NAD binding",0.27765230093441007,0.00023571958536512143,2,0.32620230037257847,4.865129806483042
IPR002528,Multi antimicrobial extrusion protein,0.2786588094549222,0.0015001994261672864,49,0.32725295544524896,4.8511642261443395
IPR018541,FtsK gamma domain,0.2793364094418016,0.0004356282353142999,1,0.32791665456211494,4.842365253838709
IPR006901,tRNA methyltransferase TrmK,0.28199715215911253,0.00023705981498398158,2,0.3309069197971719,4.80294150947414
IPR025664,Stage III sporulation protein AC/AD family,0.2826113577665659,0.00013343326085371555,1,0.3314942555298898,4.795239930911427
IPR001926,"Tryptophan synthase beta chain-like, PALP domain",0.284116013474365,0.0013005052129571254,25,0.3331251689952748,4.773925533105632
IPR002668,Concentrative nucleoside transporter N-terminal domain,0.2864924259676815,0.0004459211987871458,1,0.3357764928142119,4.739497114094768
